species,decimalLatitude,decimalLongitude,eventDate,scientificName,phylum,class,order,family,genus
Chelonia mydas,22.485,69.299,2017-02-15T22:20:00,Chelonia mydas,Chordata,,Testudines,Cheloniidae,Chelonia
Hydropuntia edulis,10.5666666031,72.6166687012,1952-07-02T00:00:00Z,Hydropuntia edulis,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Hydropuntia
Glossogobius celebius,12.5,92.75,1837-07-02T12:00:00Z,Glossogobius celebius,Chordata,Teleostei,Gobiiformes,Gobiidae,Glossogobius
Metaconchoecia rotundata,14.970000267,72.5299987793,,Metaconchoecia rotundata,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Metaconchoecia
Psittacula krameri,19.7666664124,85.3333587646,1769-07-02T12:00:00Z,Psittacula krameri,Chordata,Aves,Psittaciformes,Psittaculidae,Psittacula
Oxymetra finschii,12.0,93.83,1983,Oxymetra finschii,Echinodermata,Crinoidea,Comatulida,Mariametridae,Oxymetra
Kirkegaardia dorsobranchialis,12.769,73.97316667,2007,Kirkegaardia dorsobranchialis,Annelida,Polychaeta,Terebellida,Cirratulidae,Kirkegaardia
Lyncina lynx,10.0,93.0,1758-07-02T12:00:00Z,Lyncina lynx,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Lyncina
Steenstrupiella intumescens,15.389,83.73,2001/2002,Steenstrupiella intumescens,Ciliophora,Oligotrichea,Choreotrichida,Tintinnidae,Steenstrupiella
Paracalanus aculeatus,18.5667,71.8667,1967-06-28T08:30:00Z,Paracalanus aculeatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Seulocia pubescens,8.5,79.0,1877-07-02T12:00:00Z,Seulocia pubescens,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Seulocia
Neogoniolithon ganesanii,9.25,79.21667,1987,Neogoniolithon ganesanii,Rhodophyta,Florideophyceae,Corallinales,Spongitidaceae,Neogoniolithon
Edentostomina cultrata,23.68,68.5,1994/1995,Edentostomina cultrata,Foraminifera,Tubothalamea,Miliolida,Ophthalmidiidae,Edentostomina
Flaccisagitta enflata,9.0,75.9700012207,,Flaccisagitta enflata,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Flaccisagitta
Paracalanus aculeatus,20.8333,68.55,1976-10-08T07:00:00Z,Paracalanus aculeatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Euchelus asper,33.85,78.53,1964-01-23,Euchelus asper,Mollusca,Gastropoda,Seguenziida,Chilodontidae,Euchelus
Siriella gracilis,19.583334,68.583336,1852,Siriella gracilis,Arthropoda,Malacostraca,Mysida,Mysidae,Siriella
Leiodon cutcutia,26.5249996,86.9332962,1996,Leiodon cutcutia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Leiodon
Glycera alba,9.24,79.23,2006/2007,Glycera alba,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera
Bathymyrus echinorhynchus,19.950001,90.283333,,Bathymyrus echinorhynchus,Chordata,Teleostei,Anguilliformes,Congridae,Bathymyrus
Prorocentrum gracile,9.916666667,76.25,2000/2001,Prorocentrum gracile,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum
Upeneus tragula,12.5,92.75,1846-07-02T12:00:00Z,Upeneus tragula,Chordata,Teleostei,Mulliformes,Mullidae,Upeneus
Sicyonia lancifer,8.5,79.0,1811-07-02T12:00:00Z,Sicyonia lancifer,Arthropoda,Malacostraca,Decapoda,Sicyoniidae,Sicyonia
Stomias nebulosus,8.5,79.0,1889-07-02T12:00:00Z,Stomias nebulosus,Chordata,Teleostei,Stomiiformes,Stomiidae,Stomias
Puerulus sewelli,12.74,93.11,2016-04-10,Puerulus sewelli,Arthropoda,Malacostraca,Decapoda,Palinuridae,Puerulus
Herklotsichthys quadrimaculatus,10.0,93.0,1837-07-02T12:00:00Z,Herklotsichthys quadrimaculatus,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Herklotsichthys
Spiroxya acustella,20.3167,86.75,1915,Spiroxya acustella,Porifera,Demospongiae,Clionaida,Clionaidae,Spiroxya
Ophiocoma erinaceus,11.21,72.79,1988/1989,Ophiocoma erinaceus,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Ophiocoma
Pseudomonas pachastrellae,17.337,89.678,2015-09-02,Pseudomonas pachastrellae,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Paracalanus aculeatus,18.4167,71.7833,1976-10-13T11:00:00Z,Paracalanus aculeatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Oridorsalis umbonatus,9.0292,72.8778,1972-03-10,Oridorsalis umbonatus,Foraminifera,Globothalamea,Rotaliida,Alabaminidae,Oridorsalis
Coryphaena hippurus,10.0,95.0,,Coryphaena hippurus,Chordata,Teleostei,Carangiformes,Coryphaenidae,Coryphaena
Parascolopsis eriomma,15.9,72.9,,Parascolopsis eriomma,Chordata,Teleostei,Eupercaria incertae sedis,Nemipteridae,Parascolopsis
Lepidocephalichthys guntea,26.5249996,86.9732971,02/11/1996,Lepidocephalichthys guntea,Chordata,Teleostei,Cypriniformes,Cobitidae,Lepidocephalichthys
Phalacroma rapa,14.6059,69.9776,2010-03-30,Phalacroma rapa,Myzozoa,Dinophyceae,Dinophysales,Oxyphysaceae,Phalacroma
Ferosagitta ferox,10.65,96.58,1959/1965,Ferosagitta ferox,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta
Tripos muelleri,19.30113333,84.96684444,2010,Tripos muelleri,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos
Anteholosticha monilata,22.7443,69.955,2017-01-01,Anteholosticha monilata,Ciliophora,Spirotrichea,,Holostichidae,Anteholosticha
Scatophagus argus,21.703926,89.2610127,2023-01-09,Scatophagus argus,Chordata,Teleostei,Acanthuriformes,Scatophagidae,Scatophagus
Cypridina dentata,14.57,73.42,1962/1964,Cypridina dentata,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina
Trichiurus auriga,13.09746667,93.18666667,2015-01-04/19,Trichiurus auriga,Chordata,Teleostei,Scombriformes,Trichiuridae,Trichiurus
Paracalanus aculeatus,21.7565804,89.2230174,2023-01-08,Paracalanus aculeatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Eudactylopus andrewi,10.0,93.0,1940-07-02T00:00:00Z,Eudactylopus andrewi,Arthropoda,Copepoda,Harpacticoida,Thalestridae,Eudactylopus
Temoropia mayumbaensis,20.6167,88.35,1971-11-23T23:34:48Z,Temoropia mayumbaensis,Arthropoda,Copepoda,Calanoida,Fosshageniidae,Temoropia
Neomonoceratina iniqua,12.33166667,75.04722222,2007,Neomonoceratina iniqua,Arthropoda,Ostracoda,Podocopida,Cytheridae,Neomonoceratina
Pomadasys furcatus,21.9442127684078,88.8980217778187,,Pomadasys furcatus,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Pomadasys
Callionymus belcheri,21.919215,88.083333,,Callionymus belcheri,Chordata,Teleostei,Callionymiformes,Callionymidae,Callionymus
Phaeophila dendroides,16.293368130974,84.102718975153,,Phaeophila dendroides,Chlorophyta,Ulvophyceae,Ulvales,Phaeophilaceae,Phaeophila
Nusuttodinium poecilochroum,21.7933133,89.2810876,2023-01-09,Nusuttodinium poecilochroum,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Nusuttodinium
Canthocalanus pauper,15.0667,71.5167,1967-06-26T22:00:00Z,Canthocalanus pauper,Arthropoda,Copepoda,Calanoida,Calanidae,Canthocalanus
Psammocora profundacella,10.0,93.0,1898-07-02T12:00:00Z,Psammocora profundacella,Cnidaria,Hexacorallia,Scleractinia,Psammocoridae,Psammocora
Paracalanus denudatus,20.0,72.05,1976-10-11T14:00:00Z,Paracalanus denudatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Cirriformia afer,21.0,70.0,1999/2002,Cirriformia afer,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirriformia
Neonesidea woodwardiana,12.39333333,75.015,2007,Neonesidea woodwardiana,Arthropoda,Ostracoda,Podocopida,Bairdiidae,Neonesidea
Epistominella exigua,9.0292,72.8778,1972-03-10,Epistominella exigua,Foraminifera,Globothalamea,Rotaliida,Pseudoparrellidae,Epistominella
Halocypris inflata,14.1700000763,84.3300018311,,Halocypris inflata,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Halocypris
Undinula vulgaris,17.9833,70.1833,1967-06-29T03:30:00Z,Undinula vulgaris,Arthropoda,Copepoda,Calanoida,Calanidae,Undinula
Setipinna tenuifilis,21.7566388,89.2229824,2023-01-09,Setipinna tenuifilis,Chordata,Teleostei,Clupeiformes,Engraulidae,Setipinna
Ceramium deslongchampsii,9.23333358765,79.2166671753,1830-07-02T12:00:00Z,Ceramium deslongchampsii,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium
